appliance_name,power_rating_watts,daily_usage_hours,star_rating,daily_consumption_kwh,monthly_bill
Refrigerator,196,9.193083692326335,3,1.5315677431415673,2640.369384642937
Washing Machine,503,1.0714096585328297,2,0.485027152417812,2640.369384642937
Air Conditioner,1501,6.241791424808642,4,7.495143142910216,2640.369384642937
Television,87,4.396538932530316,2,0.34424899841712375,2640.369384642937
Microwave,984,0.7303732148814699,5,0.5390154325825247,2640.369384642937
Fan,78,6.135201104807725,4,0.3828365489400021,2640.369384642937
Lighting,72,3.883682018570441,4,0.2237000842696574,2640.369384642937
Refrigerator,215,10.261269788844624,1,2.095864354371514,2864.91922439196
Washing Machine,511,1.2467243941234882,2,0.5733685488573923,2864.91922439196
Air Conditioner,1481,6.6665634806157,5,7.4048853860938895,2864.91922439196
Television,110,4.601395475134576,4,0.4049228018118427,2864.91922439196
Microwave,1006,1.0855364002774022,4,0.8736396949432534,2864.91922439196
Fan,81,6.734901158010515,3,0.4636979447290239,2864.91922439196
Lighting,55,2.7451069127178336,4,0.1207847041595847,2864.91922439196
Refrigerator,183,11.73554484683064,1,2.040224471621507,2636.5242382277124
Washing Machine,495,0.5724086262938599,5,0.21250670251159548,2636.5242382277124
Air Conditioner,1516,5.73841807825547,3,7.394525535639998,2636.5242382277124
Television,109,2.1471321840979027,1,0.2223355376633378,2636.5242382277124
Microwave,1014,0.85382166426561,3,0.7359088924305293,2636.5242382277124
Fan,63,3.584343707109036,5,0.16936024016090195,2636.5242382277124
Lighting,61,4.062801914257758,3,0.21065627925426472,2636.5242382277124
Refrigerator,181,8.526055990252727,1,1.4660553275239563,2630.7711626424243
Washing Machine,497,0.6737058059912838,5,0.25112383918325104,2630.7711626424243
Air Conditioner,1492,6.6180426108559995,5,7.405589681547863,2630.7711626424243
Television,83,4.423269823090198,1,0.34877482555066214,2630.7711626424243
Microwave,989,1.3850103529859732,4,1.095820191282502,2630.7711626424243
Fan,97,1.5870401378657348,2,0.13854860403567867,2630.7711626424243
Lighting,77,4.426563495864745,5,0.255634041886189,2630.7711626424243
Refrigerator,206,11.69507265708493,4,1.9273479738875965,1594.7495854046153
Washing Machine,491,1.4664743606462116,4,0.5760311288618319,1594.7495854046153
Air Conditioner,1497,2.0135411647001527,5,2.260703342667097,1594.7495854046153
Television,99,4.0194234643557625,5,0.2984421922284154,1594.7495854046153
Microwave,995,1.4147367477743733,1,1.3372799108337263,1594.7495854046153
Fan,90,2.1011782171660336,2,0.17019543559044872,1594.7495854046153
Lighting,53,1.7639140357731544,4,0.07478995511678176,1594.7495854046153
Refrigerator,218,11.371696045379506,5,1.8592723034195493,1187.9351084348864
Washing Machine,515,0.9832555617191336,5,0.3797824607140154,1187.9351084348864
Air Conditioner,1516,1.364391838134329,3,1.758155322619896,1187.9351084348864
Television,80,1.540085858041159,2,0.11088618177896345,1187.9351084348864
Microwave,1008,0.6873380842030005,3,0.5889112705451308,1187.9351084348864
Fan,85,2.62108185143754,4,0.17823356589775274,1187.9351084348864
Lighting,62,1.2646606706856631,1,0.07448851350338555,1187.9351084348864
Refrigerator,214,11.347066619544586,2,2.185445030924287,2717.629440939113
Washing Machine,501,0.8658217720947232,2,0.3903990370375107,2717.629440939113
Air Conditioner,1486,6.306888392451304,4,7.49762892094611,2717.629440939113
Television,102,1.8982118877750267,1,0.18393673192540005,2717.629440939113
Microwave,995,0.5030779850623357,3,0.42547820586647045,2717.629440939113
Fan,66,9.903179663181556,3,0.5555683791044853,2717.629440939113
Lighting,43,2.4709214566484503,4,0.08499969810870668,2717.629440939113
Refrigerator,202,8.672443198476795,5,1.3138751445692347,3087.487840975817
Washing Machine,494,1.4840264068659774,2,0.6597981404926135,3087.487840975817
Air Conditioner,1510,6.744467819031998,1,9.674939086401402,3087.487840975817
Television,96,4.796761580538667,5,0.345366833798784,3087.487840975817
Microwave,1015,0.8090633935214935,4,0.6569594755394527,3087.487840975817
Fan,74,1.5780871061669242,2,0.10510060127071714,3087.487840975817
